GT,sliceID,brainID,neuronArea,cgArea,cgPer,astroArea,ctxArea,infArea,globScore,infPerc
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_12.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,304085.0,314753.0,123861.96196938079,21768.0,1128291.0,5385.0,10.977838338636113,0.47727049138918953
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_13.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,300269.0,335251.0,126064.34014142293,22199.0,1081691.0,5735.0,11.654376355301368,0.5301883809701662
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_14.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,280450.0,315868.0,120222.8905426314,27021.0,1049159.0,6432.0,11.458977194365334,0.6130624624103687
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_15.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,257936.0,324950.0,118354.35248340854,36785.0,1003198.0,11669.0,11.797706183964534,1.1631801498806815
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_16.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,230297.0,289501.0,108547.02323327842,47796.0,947765.0,12661.0,11.452947010416972,1.3358796748139043
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_17.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,213175.0,287506.0,105029.34058745328,56328.0,882857.0,21727.0,11.896529176010755,2.4609874532342157
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_18.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,191315.0,295156.0,105083.28798907339,69607.0,837774.0,23708.0,12.543154596475109,2.829880134738008
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_19.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,159556.0,305508.0,110871.7231230463,62101.0,825636.0,27173.0,13.42864447808069,3.291159784699311
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_20.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,134593.0,88949.0,46614.61364454545,68003.0,497392.0,7517.0,9.371806069366908,1.5112828513526555
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_21.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,120380.0,85619.0,43177.454952062035,101402.0,465766.0,9790.0,9.27020326774862,2.101913836561707
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_22.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,108987.0,71239.0,36944.59323174919,120036.0,420834.0,9472.0,8.778899336020661,2.250768711653526
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_23.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,104195.0,78195.0,37785.312278032055,149236.0,403513.0,9517.0,9.364087966938378,2.3585361562081024
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_24.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,98528.0,62471.0,31884.487137645672,173351.0,362069.0,10036.0,8.80619084695063,2.7718473550621567
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_25.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,90657.0,59800.0,30672.310334667785,192885.0,319226.0,8432.0,9.60833714505328,2.6413888593034405
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_26.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,89202.0,61214.0,30619.13980781306,210201.0,295329.0,13828.0,10.36780668603932,4.682235743865316
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_27.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,88666.0,61022.0,29766.61184985795,207492.0,276137.0,14236.0,10.779653523380766,5.1554119875279305
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_28.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,523173.0,52646.0,26345.541289660363,177800.0,822773.0,87961.0,3.2020425183690233,10.690798069455367
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_29.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,538790.0,46860.0,24057.301428097322,138363.0,822298.0,93170.0,2.9256183802097686,11.330442248430618
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_30.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,526395.0,45721.0,23310.548073397797,92061.0,808888.0,67493.0,2.8818016923724663,8.343924004312091
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_31.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,50340.0,40694.0,20862.070621781524,71849.0,216568.0,7155.0,9.6330347150925,3.3038121975545787
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_32.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,40937.0,29061.0,15981.859838532511,177537.0,173338.0,7388.0,9.220055520735505,4.262192940959282
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_33.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,552349.0,35611.0,18078.930219261347,195915.0,793094.0,112619.0,2.279544444827643,14.1999561212164
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_34.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,621495.0,29085.0,15969.906519726737,180496.0,850008.0,80746.0,1.8787948489575084,9.49944000527054
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_35.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,607293.0,25706.0,14258.988555358148,158504.0,848865.0,103828.0,1.67977105374331,12.23139132842089
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_36.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,590126.0,16655.0,9977.986970931372,165819.0,836447.0,94412.0,1.192901280168543,11.287266258352293
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_0.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,156216.0,87723.0,36789.36278437089,108809.0,466948.0,5355.0,7.878685160739717,1.1468086382209581
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_1.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,156326.0,74828.0,31873.027109440845,123969.0,496482.0,7061.0,6.419774958496148,1.4222066459609815
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_2.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,146474.0,76027.0,31635.833241989007,115488.0,468246.0,7497.0,6.756242069764398,1.6010814828103177
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_3.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,145635.0,71583.0,30272.428950225654,114555.0,469463.0,9765.0,6.448309866853331,2.0800361263826965
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_4.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,135419.0,70969.0,29522.731511436345,110599.0,458126.0,5353.0,6.444238377965089,1.1684558396598317
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_5.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,127275.0,68390.0,28879.359794986092,105551.0,434599.0,6778.0,6.645058961246135,1.559598618496591
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_6.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,127080.0,72945.0,30684.923466315882,105415.0,418019.0,6091.0,7.340557119728023,1.4571108011836782
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_7.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,116572.0,71157.0,29810.481728074286,103762.0,402264.0,4252.0,7.410676005825599,1.0570172821828452
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_8.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,105509.0,68932.0,28559.815639108805,108922.0,398043.0,8017.0,7.175057880457339,2.0141040038387814
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_9.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,109645.0,68376.0,28615.098864335738,98247.0,404929.0,8399.0,7.066695362479777,2.074190784063379
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_10.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,110531.0,69426.0,29311.49078332153,97865.0,395641.0,3509.0,7.408608001527023,0.8869151579335812
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_11.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,104616.0,56331.0,24906.134905855954,90175.0,392444.0,5565.0,6.346417554060185,1.4180367135183618
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_12.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,108959.0,58371.0,25507.580648710904,88842.0,391620.0,4501.0,6.513349841354094,1.1493284306215208
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_13.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,112494.0,61476.0,26099.54215621214,95702.0,394605.0,9421.0,6.614093120009159,2.3874507418811213
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_14.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,118803.0,72429.0,29365.681692180537,86866.0,404397.0,3153.0,7.261597314564781,0.7796793744760718
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_15.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,125114.0,74484.0,29666.327399141737,99115.0,417267.0,2259.0,7.109674956117243,0.5413799797252119
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_16.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,122472.0,85362.0,33759.28421494659,132032.0,437335.0,5676.0,7.719319106622288,1.2978609075422731
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_17.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,155611.0,88377.0,35003.3727061699,121328.0,488355.0,7484.0,7.167608134690933,1.5324917324487308
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_18.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,180604.0,107317.0,41161.69741328041,111296.0,545377.0,10158.0,7.5473841788855065,1.862564794628303
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_19.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,221135.0,123641.0,47349.008881061556,86039.0,628295.0,14424.0,7.536111043548263,2.2957368751939775
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_20.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,273145.0,78822.0,35809.39099613314,65066.0,721080.0,14108.0,4.966077411124028,1.9565096799245576
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_21.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,296631.0,77267.0,36218.709755266005,50951.0,771492.0,8348.0,4.694631928168536,1.0820591788378882
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_22.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,344930.0,175333.0,64498.62329978287,40510.0,853147.0,7967.0,7.5600832329930086,0.9338367245035147
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_23.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,367754.0,207671.0,73872.7668711566,32327.0,928386.0,5782.0,7.957117715169831,0.6228012917040973
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_24.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,420220.0,244826.0,81776.4979620715,24743.0,950552.0,5237.0,8.603053590131998,0.5509430309967261
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_25.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,437779.0,267263.0,85741.79705707509,25221.0,990697.0,4469.0,8.654694327031887,0.4510965512159621
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_26.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,431231.0,284031.0,90202.1316859846,24154.0,1023846.0,3874.0,8.810126882947689,0.3783772168861333
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_27.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,496650.0,287471.0,91362.67897992345,29230.0,1085143.0,2530.0,8.419413752834737,0.23314899510940035
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_28.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,489988.0,279754.0,90096.44539448358,18393.0,1090099.0,2822.0,8.264978262936081,0.25887557001703515
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_29.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,491475.0,299353.0,92614.70459203038,15156.0,1087040.0,2025.0,8.519898494262437,0.1862856932587577
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_30.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,547860.0,321035.0,94468.40761985982,28980.0,1132582.0,2596.0,8.340977308473896,0.2292107767914376
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_31.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,553478.0,350859.0,98726.74224876934,27798.0,1149214.0,2557.0,8.59080573755361,0.2224998999316054
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_32.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,619717.0,335710.0,94408.20051307863,23608.0,1163431.0,2031.0,8.114636838203438,0.17456987135463986
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_33.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,621932.0,275187.0,80824.13966441934,19943.0,1173922.0,1727.0,6.884966775000327,0.14711369239182842
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_34.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,616112.0,259270.0,75356.62213587754,16366.0,1193231.0,2247.0,6.315342304706929,0.18831223794889673
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_35.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,609008.0,332459.0,88156.10120271255,12241.0,1170707.0,1513.0,7.5301592288004215,0.12923814413000007
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_36.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,597621.0,431609.0,103782.61093228837,10990.0,1145101.0,2716.0,9.063184027634975,0.23718431823917716
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_37.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,599335.0,485527.0,110226.13978758722,9426.0,1175490.0,2577.0,9.377037642820204,0.2192277263098793
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_38.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,626769.0,459359.0,107003.60014393757,9009.0,1167332.0,1265.0,9.166509625705247,0.10836677140693479
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_39.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,610131.0,479768.0,104254.80916329105,8897.0,1151973.0,1627.0,9.050108740681512,0.14123594910644607
6L,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X_40.tif,6L WT 5-9 Ctx488 AstroCy3 ElavCy5 20x 5.63X,672716.0,473159.0,101755.01486511422,6931.0,1164680.0,2252.0,8.736735830023202,0.1933578321942508
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_0.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,366193.0,209537.0,96372.61938754542,3136.0,1033930.0,10395.0,9.321000395340635,1.0053872119002254
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_1.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,371766.0,223791.0,101650.68089249576,4008.0,1046927.0,8258.0,9.709433503242897,0.7887847003659281
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_2.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,376002.0,237708.0,107063.60148731165,4390.0,1074911.0,3885.0,9.960229403858706,0.36142527148759296
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_3.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,400184.0,265053.0,116621.55501637814,2269.0,1094150.0,148.0,10.658644154492357,0.013526481743819402
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_4.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,418464.0,282366.0,123205.89696743134,3505.0,1118792.0,299.0,11.01240417945707,0.02672525366645453
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_5.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,413226.0,288479.0,124950.52265132577,5058.0,1113892.0,524.0,11.217471949823302,0.047042262625101895
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_6.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,412271.0,302838.0,130006.89386016176,4843.0,1112168.0,2601.0,11.68950139368888,0.23386754519101433
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_7.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,404601.0,323973.0,135746.1109195339,6278.0,1124842.0,1641.0,12.068015856407737,0.14588715570720154
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_8.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,423449.0,332716.0,139559.31037602588,8221.0,1126602.0,2147.0,12.387632045391884,0.1905730683950499
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_9.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,414381.0,361402.0,147808.34402815148,9796.0,1127548.0,2497.0,13.108829427053347,0.22145398688126805
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_10.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,404367.0,367514.0,148929.38583818058,13524.0,1115509.0,3246.0,13.350800920313558,0.2909882394494352
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_11.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,394434.0,379091.0,150355.27331927713,14003.0,1107558.0,5181.0,13.575385967983358,0.4677858857053085
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_12.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,356873.0,414145.0,158540.17111190216,19533.0,1114788.0,8467.0,14.221553435442628,0.7595166076419911
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_13.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,319118.0,46641.0,31406.549298887076,26796.0,873296.0,4078.0,3.5963235030146796,0.46696652681335993
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_14.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,281407.0,39383.0,26292.804640497292,36249.0,762129.0,4802.0,3.449915255881523,0.6300770604451478
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_15.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,263692.0,37964.0,25386.913154787395,47305.0,679126.0,11363.0,3.7381742349412916,1.673179940099481
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_16.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,249856.0,33513.0,22330.904786623185,71311.0,645023.0,18119.0,3.4620323285562202,2.8090471192500113
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_17.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,265887.0,35605.0,23254.046055695137,115037.0,689817.0,40182.0,3.371045662211157,5.825023158315902
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_18.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,43427.0,44258.0,27377.49320350811,136421.0,299624.0,2543.0,9.137283129358167,0.848730408779003
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_19.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,57719.0,43872.0,26690.32458922569,138690.0,326662.0,3748.0,8.170624250517564,1.14736332968022
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_20.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,41716.0,43639.0,26400.77538271452,152883.0,297814.0,3161.0,8.864853694827818,1.0614007400592316
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_21.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,54497.0,39074.0,24231.062433086066,149333.0,292858.0,3651.0,8.273997102037871,1.2466792780118692
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_22.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,48388.0,40085.0,24149.660412832513,148720.0,277465.0,4847.0,8.703678090149213,1.7468869947560954
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_23.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,40153.0,32519.0,20184.74627360853,135421.0,232359.0,3091.0,8.686879472544007,1.330269109438412
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_24.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,29640.0,23324.0,15289.154898130768,101821.0,164677.0,1522.0,9.284329261603483,0.9242334995172368
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_25.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,40486.0,24743.0,15748.072683030608,71409.0,186960.0,2179.0,8.42323100290469,1.165489944373128
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_26.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,34577.0,26560.0,16899.337797763063,58573.0,174745.0,2064.0,9.670856275008191,1.1811496752410655
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_27.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,31135.0,19228.0,12377.628673279216,47593.0,156127.0,2348.0,7.927923212051224,1.5039038731289271
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4_28.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav 4,44239.0,27220.0,16686.31445716595,47198.0,202006.0,3268.0,8.26030635583396,1.6177737294931833
